DATE,SALES,COST_OF_SALES,QUANTITY_SOLD,PRICE_PER_UNIT,GROSS_PROFIT,GROSS_PROFIT_PERCENT,GROSS_PROFIT_PER_UNIT,TOTAL_REVENUE,AVG_UNIT_SALES_PRICE,SALES_STATUS,PROMOTION_PERIOD,LOSS_STATUS
1/1/2014,86782.46773,87986.31821,2678,32,-1204,0,0,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/1/2015,112161.41960,122170.43170,2905,39,-10009,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/1/2016,111650.23980,121448.28380,3179,35,-9798,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/10/2014,594438.28080,639306.56880,18330,32,-44868,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/10/2015,402312.33320,459285.80450,12065,33,-56973,0,-5,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/10/2016,208489.09030,201416.83760,5632,37,7072,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
1/11/2014,247453.10220,242638.80120,6730,37,4814,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
1/11/2015,274814.77810,287978.17490,7459,37,-13163,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/11/2016,126954.17020,110698.74290,2971,43,16255,0,5,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
1/12/2014,105100.66760,97257.39467,2492,42,7843,0,3,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
1/12/2015,262394.78000,285838.55680,7474,35,-23444,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/2/2014,181209.12850,178435.71530,5304,34,2773,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
1/2/2015,171469.93050,174652.45800,4165,41,-3183,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/2/2016,339004.33690,371177.18690,10153,33,-32173,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/3/2014,846678.38820,872081.58500,26410,32,-25403,0,-1,186909828,37,HIGHEST SALES DAY,REGULAR PERIOD,LOSS
1/3/2015,256701.54270,276569.25040,6803,38,-19868,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/3/2016,180828.67410,182962.33700,4719,38,-2134,0,0,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/4/2014,244535.20520,239700.68480,7155,34,4835,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
1/4/2015,498894.34390,542483.83580,13207,38,-43589,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/4/2016,232410.19800,245358.63000,6282,37,-12948,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/5/2014,180294.26870,175656.65040,5124,35,4638,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
1/5/2015,499703.41470,526206.93720,12937,39,-26504,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/5/2016,354856.04490,380511.15920,10388,34,-25655,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/6/2014,456017.46310,473223.98070,14188,32,-17207,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/6/2015,440905.99870,474967.32760,11688,38,-34061,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/6/2016,368789.57260,391923.65960,10761,34,-23134,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/7/2014,180183.03140,173842.92090,5143,35,6340,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
1/7/2015,305231.90810,324248.84150,8086,38,-19017,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/7/2016,479010.15670,517742.19260,14344,33,-38732,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/8/2014,611894.67320,636341.31590,18867,32,-24447,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/8/2015,173306.90650,178699.97590,4453,39,-5393,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/8/2016,65133.96620,55946.05656,1548,42,9188,0,6,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
1/9/2014,594953.63490,662850.99080,19366,31,-67897,0,-4,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/9/2015,384806.77160,418101.59750,11257,34,-33295,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
1/9/2016,313491.73510,333030.87570,9183,34,-19539,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/1/2014,144829.95670,141333.99630,4246,34,3496,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/1/2015,120807.57420,123392.80410,2934,41,-2585,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/1/2016,90773.65306,84299.28824,2207,41,6474,0,3,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/10/2014,179841.43180,170757.58120,4891,37,9084,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/10/2015,119755.01160,116003.68690,3037,39,3751,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/10/2016,50934.98319,44983.77730,1263,40,5951,0,5,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/11/2014,76103.29152,73967.60569,2016,38,2136,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/11/2015,131436.19790,143823.38640,3744,35,-12387,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/11/2016,71529.16264,67551.25097,1666,43,3978,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/12/2014,161844.80940,169348.51860,4095,40,-7504,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/12/2015,133183.69370,137725.87610,3610,37,-4542,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/2/2014,147727.51620,154828.68460,4552,32,-7101,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/2/2015,138667.41590,148522.84900,3677,38,-9855,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/2/2016,76661.25003,66379.56360,1825,42,10282,0,6,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/3/2014,286230.67890,297642.89140,8932,32,-11412,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/3/2015,62499.79917,62073.87265,1518,41,426,0,0,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/3/2016,37453.00618,35108.20011,892,42,2345,0,3,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/4/2014,179326.49020,183278.50240,5380,33,-3952,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/4/2015,114067.07710,113653.97360,2770,41,413,0,0,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/4/2016,104689.42790,113609.30430,2958,35,-8920,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/5/2014,431695.70920,465253.81570,13306,32,-33558,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/5/2015,166536.00030,179243.05180,4410,38,-12707,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/5/2016,42723.52446,37112.98506,1016,42,5611,0,6,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/6/2014,188334.52120,195254.78100,5857,32,-6920,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/6/2015,71199.58840,68669.39496,1694,42,2530,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/6/2016,252458.26220,261502.38180,7190,35,-9044,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/7/2014,103998.55970,101270.97110,2968,35,2728,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
